id,callerID,agentID,complaintTopic,assignedTo,status,resolutionDurationInHours,callDurationInSeconds,agentsGradeLevel,callType,callEndedByAgent
1,CALLER_1,163,Billing discrepancy,122.0,closed,33,97,A,Inbound,False
2,CALLER_2,133,Difficulty reaching customer support,133.0,new,0,64,E,Inbound,True
3,CALLER_3,153,Wrong item received,122.0,resolved,0,100,C,Inbound,False
4,CALLER_4,161,Unauthorized charges,151.0,pending,0,69,D,Outbound,True
5,CALLER_5,148,Unprofessional behavior,148.0,new,0,96,D,Inbound,True
6,CALLER_6,157,Inadequate product instructions,125.0,closed,18,120,A,Inbound,True
7,CALLER_7,179,Unsatisfactory resolution,125.0,resolved,0,88,C,Inbound,True
8,CALLER_8,171,Rude customer service representative,171.0,pending,0,108,D,Inbound,True
9,CALLER_9,161,Website not working,161.0,new,0,145,C,Inbound,True
10,CALLER_10,159,Product damaged during shipping,135.0,resolved,0,128,F,Inbound,True
11,CALLER_11,147,Inadequate product instructions,133.0,closed,18,130,A,Outbound,True
12,CALLER_12,143,Inaccurate information provided,122.0,pending,0,109,D,Inbound,True
13,CALLER_13,124,Slow response time,132.0,resolved,0,148,F,Outbound,False
14,CALLER_14,151,Unsatisfactory resolution,136.0,resolved,0,82,D,Inbound,True
15,CALLER_15,171,Slow response time,171.0,new,0,60,F,Inbound,True
16,CALLER_16,131,Difficulty getting a refund,169.0,pending,0,132,A,Inbound,False
17,CALLER_17,179,Long wait time,155.0,closed,44,82,D,Inbound,True
18,CALLER_18,130,Website not working,155.0,closed,13,70,A,Outbound,True
19,CALLER_19,159,Shipping delay,159.0,closed,32,95,E,Outbound,True
20,CALLER_20,131,Misplaced order,131.0,closed,44,67,F,Inbound,False
21,CALLER_21,121,Unprofessional behavior,121.0,new,0,72,A,Outbound,True
22,CALLER_22,121,Refund not processed,133.0,resolved,0,125,E,Outbound,False
23,CALLER_23,177,Unprofessional behavior,158.0,new,0,71,E,Outbound,True
24,CALLER_24,173,Shipping delay,137.0,resolved,0,94,A,Inbound,False
25,CALLER_25,162,Package never arrived,162.0,closed,17,67,C,Inbound,True
26,CALLER_26,124,Lack of follow-up,143.0,new,0,75,C,Inbound,False
27,CALLER_27,168,Lack of follow-up,166.0,pending,0,131,E,Inbound,False
28,CALLER_28,146,Billing discrepancy,133.0,pending,0,86,C,Inbound,False
29,CALLER_29,151,Product not as described,173.0,closed,26,77,F,Inbound,True
30,CALLER_30,172,Long wait time,133.0,closed,35,92,F,Outbound,True
31,CALLER_31,161,Unsatisfactory resolution,179.0,closed,14,142,A,Outbound,False
32,CALLER_32,157,Lack of follow-up,157.0,new,0,85,E,Inbound,False
33,CALLER_33,138,Incorrect charges,138.0,resolved,0,90,F,Outbound,True
34,CALLER_34,142,Product damaged during shipping,140.0,closed,27,61,F,Outbound,True
35,CALLER_35,123,Unauthorized charges,123.0,pending,0,105,E,Inbound,True
36,CALLER_36,180,Incorrect order,167.0,pending,0,67,F,Outbound,False
37,CALLER_37,135,Incorrect charges,145.0,closed,26,114,F,Inbound,True
38,CALLER_38,179,Unauthorized charges,143.0,pending,0,103,A,Inbound,True
39,CALLER_39,129,Rude customer service representative,129.0,pending,0,66,C,Inbound,True
40,CALLER_40,122,Rude customer service representative,146.0,new,0,133,A,Outbound,False
41,CALLER_41,159,Poor communication,144.0,pending,0,106,C,Inbound,True
42,CALLER_42,156,Website not working,156.0,pending,0,64,F,Inbound,False
43,CALLER_43,144,Poor communication,161.0,pending,0,61,C,Inbound,False
44,CALLER_44,171,Difficulty reaching customer support,177.0,resolved,0,91,D,Inbound,True
45,CALLER_45,172,Lost package,172.0,closed,36,95,C,Inbound,True
46,CALLER_46,156,Difficulty reaching customer support,141.0,closed,38,115,C,Inbound,False
47,CALLER_47,172,Difficulty cancelling subscription,172.0,resolved,0,145,E,Outbound,True
48,CALLER_48,135,Difficulty reaching customer support,135.0,pending,0,136,E,Outbound,True
49,CALLER_49,171,Inadequate product instructions,171.0,closed,18,86,D,Outbound,True
50,CALLER_50,160,Product not as described,172.0,pending,0,102,F,Inbound,True
51,CALLER_51,180,Unsatisfactory resolution,180.0,closed,30,106,E,Inbound,True
52,CALLER_52,160,Website not working,160.0,closed,41,139,E,Inbound,True
53,CALLER_53,158,Slow response time,158.0,pending,0,113,C,Outbound,True
54,CALLER_54,167,Long wait time,167.0,closed,31,101,E,Inbound,True
55,CALLER_55,157,Shipping delay,157.0,closed,13,98,C,Inbound,True
56,CALLER_56,133,Package never arrived,133.0,closed,29,85,A,Inbound,True
57,CALLER_57,176,Incorrect order,132.0,resolved,0,115,F,Inbound,True
58,CALLER_58,177,Package never arrived,177.0,closed,3,106,A,Outbound,True
59,CALLER_59,132,Product damaged during shipping,124.0,closed,4,120,A,Outbound,True
60,CALLER_60,163,Package delivered to wrong address,163.0,new,0,114,E,Outbound,True
61,CALLER_61,177,Unauthorized charges,177.0,closed,41,114,A,Inbound,True
62,CALLER_62,140,Website not working,140.0,pending,0,107,F,Inbound,True
63,CALLER_63,152,Shipping delay,158.0,pending,0,143,D,Inbound,False
64,CALLER_64,131,Billing discrepancy,131.0,resolved,0,128,A,Inbound,True
65,CALLER_65,166,Billing discrepancy,166.0,closed,5,64,C,Inbound,True
66,CALLER_66,154,Product damaged during shipping,139.0,pending,0,79,D,Outbound,True
67,CALLER_67,124,Incorrect charges,124.0,new,0,137,E,Inbound,True
68,CALLER_68,146,Unsatisfactory resolution,146.0,closed,28,90,E,Inbound,False
69,CALLER_69,131,Package never arrived,156.0,resolved,0,110,D,Inbound,False
70,CALLER_70,175,Poor communication,159.0,resolved,0,143,C,Outbound,False
71,CALLER_71,132,Unhelpful support,160.0,closed,28,112,D,Inbound,True
72,CALLER_72,128,Poor communication,171.0,pending,0,112,A,Inbound,True
73,CALLER_73,150,Product not delivered,150.0,closed,37,108,D,Inbound,True
74,CALLER_74,146,Billing discrepancy,146.0,pending,0,120,D,Inbound,True
75,CALLER_75,124,Long wait time,173.0,new,0,137,E,Outbound,True
76,CALLER_76,135,Product not delivered,135.0,closed,8,65,E,Inbound,False
77,CALLER_77,121,Unhelpful support,121.0,new,0,100,F,Inbound,True
78,CALLER_78,170,Unhelpful support,135.0,pending,0,139,A,Outbound,False
79,CALLER_79,166,Misplaced order,133.0,pending,0,95,A,Outbound,False
80,CALLER_80,149,Product damaged during shipping,149.0,resolved,0,96,D,Outbound,True
81,CALLER_81,123,Lost package,170.0,new,0,80,D,Outbound,False
82,CALLER_82,123,Package never arrived,161.0,pending,0,114,C,Inbound,True
83,CALLER_83,137,Long wait time,137.0,resolved,0,114,C,Inbound,False
84,CALLER_84,123,Unhelpful support,123.0,new,0,108,E,Outbound,True
85,CALLER_85,170,Poor quality product,159.0,pending,0,74,A,Inbound,True
86,CALLER_86,168,Inaccurate information provided,125.0,pending,0,108,A,Outbound,False
87,CALLER_87,143,Misplaced order,140.0,resolved,0,109,E,Inbound,True
88,CALLER_88,141,Unhelpful support,145.0,pending,0,118,E,Inbound,True
89,CALLER_89,163,Slow response time,163.0,pending,0,92,A,Inbound,True
90,CALLER_90,136,Website not working,136.0,pending,0,101,F,Outbound,True
91,CALLER_91,176,Unsatisfactory resolution,176.0,pending,0,98,C,Inbound,True
92,CALLER_92,139,Wrong item received,144.0,new,0,128,A,Inbound,True
93,CALLER_93,123,Unprofessional behavior,123.0,new,0,116,E,Outbound,True
94,CALLER_94,150,Wrong item received,150.0,closed,25,137,E,Inbound,False
95,CALLER_95,147,Difficulty cancelling subscription,177.0,closed,37,115,C,Inbound,True
96,CALLER_96,147,Lost package,130.0,pending,0,139,D,Inbound,True
97,CALLER_97,146,Product not as described,146.0,resolved,0,108,D,Outbound,True
98,CALLER_98,147,Unhelpful support,143.0,closed,29,100,E,Inbound,True
99,CALLER_99,128,Unsatisfactory resolution,130.0,closed,17,142,E,Inbound,False
100,CALLER_100,123,Lost package,123.0,closed,48,120,A,Inbound,True
101,CALLER_101,134,Poor communication,134.0,new,0,119,D,Outbound,False
102,CALLER_102,176,Inaccurate information provided,176.0,pending,0,138,C,Inbound,True
103,CALLER_103,147,Refund not processed,129.0,new,0,143,D,Inbound,True
104,CALLER_104,132,Incorrect order,132.0,pending,0,89,C,Inbound,True
105,CALLER_105,160,Slow response time,160.0,closed,43,129,D,Inbound,True
106,CALLER_106,131,Product not as described,162.0,pending,0,102,D,Inbound,False
107,CALLER_107,143,Product not as described,143.0,new,0,136,A,Outbound,True
108,CALLER_108,158,Product damaged during shipping,148.0,closed,11,67,E,Outbound,True
109,CALLER_109,158,Product not as described,175.0,closed,14,114,E,Inbound,True
110,CALLER_110,146,Inaccurate information provided,146.0,closed,30,141,F,Inbound,False
111,CALLER_111,122,Product damaged during shipping,122.0,pending,0,76,A,Inbound,True
112,CALLER_112,144,Rude customer service representative,163.0,new,0,138,F,Inbound,True
113,CALLER_113,147,Inaccurate information provided,132.0,pending,0,104,E,Outbound,True
114,CALLER_114,179,Poor communication,137.0,pending,0,86,D,Outbound,True
115,CALLER_115,158,Slow response time,152.0,pending,0,105,E,Inbound,True
116,CALLER_116,173,Difficulty getting a refund,148.0,pending,0,80,A,Outbound,True
117,CALLER_117,148,Shipping delay,147.0,resolved,0,124,F,Inbound,False
118,CALLER_118,178,Difficulty cancelling subscription,178.0,resolved,0,107,F,Outbound,False
119,CALLER_119,176,Slow response time,138.0,closed,26,86,A,Outbound,True
120,CALLER_120,139,Product not as described,140.0,new,0,108,C,Outbound,False
121,CALLER_121,137,Package never arrived,137.0,pending,0,136,C,Inbound,False
122,CALLER_122,177,Unhelpful support,177.0,pending,0,137,C,Inbound,False
123,CALLER_123,174,Refund not processed,136.0,resolved,0,113,E,Inbound,True
124,CALLER_124,130,Rude customer service representative,130.0,pending,0,148,A,Inbound,False
125,CALLER_125,123,Unsatisfactory resolution,142.0,resolved,0,124,E,Outbound,False
126,CALLER_126,154,Inadequate product instructions,143.0,new,0,124,E,Inbound,False
127,CALLER_127,132,Product not delivered,123.0,pending,0,116,A,Inbound,True
128,CALLER_128,164,Slow response time,164.0,pending,0,75,E,Outbound,True
129,CALLER_129,154,Unauthorized charges,180.0,closed,34,126,C,Outbound,False
130,CALLER_130,146,Poor communication,170.0,pending,0,129,D,Outbound,False
131,CALLER_131,177,Product damaged during shipping,156.0,new,0,118,A,Inbound,False
132,CALLER_132,176,Incorrect charges,176.0,pending,0,77,F,Inbound,True
133,CALLER_133,141,Website not working,141.0,new,0,113,D,Inbound,False
134,CALLER_134,131,Slow response time,146.0,pending,0,136,F,Inbound,True
135,CALLER_135,130,Long wait time,141.0,pending,0,102,E,Inbound,True
136,CALLER_136,132,Unresolved issue,156.0,pending,0,115,F,Outbound,True
137,CALLER_137,168,Inaccurate information provided,167.0,pending,0,96,C,Inbound,True
138,CALLER_138,164,Difficulty cancelling subscription,159.0,closed,7,90,C,Inbound,True
139,CALLER_139,124,Rude customer service representative,122.0,pending,0,126,A,Outbound,True
140,CALLER_140,175,Wrong item received,169.0,closed,47,106,E,Inbound,True
141,CALLER_141,130,Unsatisfactory resolution,168.0,pending,0,102,C,Outbound,True
142,CALLER_142,128,Lack of follow-up,137.0,pending,0,63,C,Inbound,False
143,CALLER_143,136,Unprofessional behavior,136.0,pending,0,60,C,Inbound,False
144,CALLER_144,157,Refund not processed,133.0,closed,16,69,A,Outbound,True
145,CALLER_145,150,Incorrect order,150.0,new,0,63,D,Inbound,True
146,CALLER_146,129,Poor communication,129.0,resolved,0,106,E,Inbound,True
147,CALLER_147,122,Package never arrived,157.0,pending,0,102,F,Outbound,True
148,CALLER_148,141,Difficulty getting a refund,160.0,closed,9,80,D,Outbound,False
149,CALLER_149,121,Lack of follow-up,178.0,closed,7,98,A,Inbound,True
150,CALLER_150,153,Wrong item received,138.0,pending,0,117,F,Inbound,True
151,CALLER_151,134,Difficulty cancelling subscription,134.0,pending,0,96,E,Inbound,False
152,CALLER_152,144,Product not as described,171.0,closed,43,93,E,Inbound,True
153,CALLER_153,159,Product not delivered,134.0,resolved,0,133,D,Inbound,False
154,CALLER_154,141,Poor communication,158.0,pending,0,139,F,Inbound,True
155,CALLER_155,125,Package delivered to wrong address,162.0,pending,0,75,D,Outbound,False
156,CALLER_156,129,Unhelpful support,129.0,resolved,0,142,C,Inbound,False
157,CALLER_157,134,Inaccurate information provided,134.0,closed,46,73,A,Inbound,False
158,CALLER_158,131,Misplaced order,131.0,pending,0,76,D,Inbound,True
159,CALLER_159,136,Difficulty reaching customer support,136.0,pending,0,74,C,Inbound,True
160,CALLER_160,162,Difficulty cancelling subscription,162.0,pending,0,84,D,Inbound,False
161,CALLER_161,153,Long wait time,159.0,pending,0,95,D,Inbound,True
162,CALLER_162,156,Unsatisfactory resolution,137.0,pending,0,75,E,Inbound,True
163,CALLER_163,149,Poor communication,141.0,closed,48,101,F,Inbound,True
164,CALLER_164,141,Product not as described,168.0,new,0,80,C,Inbound,True
165,CALLER_165,165,Rude customer service representative,173.0,closed,43,145,C,Inbound,False
166,CALLER_166,137,Refund not processed,137.0,closed,42,78,C,Inbound,True
167,CALLER_167,133,Package delivered to wrong address,130.0,closed,11,118,E,Inbound,True
168,CALLER_168,149,Poor quality product,129.0,pending,0,137,E,Inbound,True
169,CALLER_169,161,Long wait time,158.0,closed,32,61,F,Outbound,False
170,CALLER_170,127,Product not as described,160.0,closed,33,135,F,Inbound,False
171,CALLER_171,151,Lack of follow-up,167.0,closed,29,138,D,Inbound,False
172,CALLER_172,142,Misplaced order,129.0,new,0,105,E,Outbound,True
173,CALLER_173,143,Billing discrepancy,143.0,resolved,0,108,D,Inbound,True
174,CALLER_174,159,Unprofessional behavior,150.0,new,0,97,E,Outbound,True
175,CALLER_175,131,Unprofessional behavior,161.0,pending,0,99,D,Outbound,True
176,CALLER_176,170,Package delivered to wrong address,132.0,pending,0,61,A,Outbound,True
177,CALLER_177,179,Inaccurate information provided,179.0,pending,0,81,C,Inbound,False
178,CALLER_178,169,Lack of follow-up,124.0,pending,0,83,D,Outbound,True
179,CALLER_179,138,Unresolved issue,154.0,pending,0,127,A,Outbound,True
180,CALLER_180,163,Shipping delay,125.0,pending,0,120,E,Inbound,True
181,CALLER_181,126,Incorrect charges,126.0,pending,0,83,A,Inbound,False
182,CALLER_182,178,Billing discrepancy,168.0,closed,45,88,F,Inbound,True
183,CALLER_183,141,Misplaced order,142.0,pending,0,74,E,Inbound,False
184,CALLER_184,135,Incorrect charges,135.0,resolved,0,137,F,Outbound,True
185,CALLER_185,140,Difficulty reaching customer support,135.0,resolved,0,98,F,Inbound,True
186,CALLER_186,180,Wrong item received,168.0,closed,6,82,A,Inbound,True
187,CALLER_187,137,Poor communication,137.0,closed,39,128,E,Inbound,True
188,CALLER_188,149,Inaccurate information provided,158.0,pending,0,130,D,Outbound,True
189,CALLER_189,174,Package never arrived,172.0,resolved,0,74,E,Outbound,True
190,CALLER_190,160,Incorrect order,135.0,pending,0,120,F,Outbound,False
191,CALLER_191,181,Slow response time,176.0,new,0,86,E,Outbound,True
192,CALLER_192,173,Inaccurate information provided,129.0,closed,42,143,E,Outbound,True
193,CALLER_193,139,Inaccurate information provided,139.0,pending,0,76,C,Inbound,True
194,CALLER_194,155,Unauthorized charges,124.0,closed,48,123,C,Inbound,False
195,CALLER_195,126,Poor quality product,162.0,resolved,0,135,F,Inbound,False
196,CALLER_196,150,Inaccurate information provided,150.0,pending,0,115,F,Outbound,False
197,CALLER_197,142,Package delivered to wrong address,144.0,new,0,126,A,Outbound,False
198,CALLER_198,166,Unsatisfactory resolution,166.0,pending,0,90,D,Inbound,False
199,CALLER_199,124,Slow response time,135.0,resolved,0,96,A,Outbound,False
200,CALLER_200,135,Product damaged during shipping,135.0,closed,32,79,D,Outbound,True
201,CALLER_201,157,Lack of follow-up,148.0,closed,45,122,A,Outbound,True
202,CALLER_202,179,Refund not processed,162.0,pending,0,143,D,Outbound,True
203,CALLER_203,129,Incorrect charges,129.0,closed,18,83,D,Outbound,True
204,CALLER_204,179,Inadequate product instructions,179.0,pending,0,144,E,Outbound,True
205,CALLER_205,166,Unauthorized charges,166.0,new,0,60,A,Inbound,False
206,CALLER_206,180,Incorrect charges,180.0,new,0,81,A,Inbound,False
207,CALLER_207,166,Poor communication,166.0,resolved,0,100,D,Outbound,False
208,CALLER_208,133,Wrong item received,133.0,pending,0,137,E,Outbound,False
209,CALLER_209,163,Refund not processed,163.0,pending,0,77,F,Inbound,True
210,CALLER_210,131,Product not as described,156.0,pending,0,73,D,Inbound,True
211,CALLER_211,172,Inadequate product instructions,148.0,pending,0,63,A,Inbound,True
212,CALLER_212,141,Billing discrepancy,171.0,pending,0,95,F,Inbound,False
213,CALLER_213,163,Incorrect order,163.0,pending,0,85,F,Inbound,True
214,CALLER_214,174,Lack of follow-up,158.0,resolved,0,82,D,Inbound,True
215,CALLER_215,163,Unprofessional behavior,163.0,closed,23,133,D,Outbound,True
216,CALLER_216,126,Long wait time,126.0,new,0,88,F,Inbound,True
217,CALLER_217,132,Wrong item received,170.0,closed,34,73,C,Outbound,True
218,CALLER_218,177,Incorrect charges,177.0,closed,40,136,F,Outbound,True
219,CALLER_219,147,Difficulty reaching customer support,172.0,pending,0,91,A,Outbound,True
220,CALLER_220,152,Product not as described,152.0,resolved,0,78,D,Outbound,True
221,CALLER_221,149,Lost package,156.0,resolved,0,80,F,Outbound,False
222,CALLER_222,141,Unprofessional behavior,141.0,resolved,0,106,A,Outbound,False
223,CALLER_223,159,Package never arrived,159.0,pending,0,134,C,Inbound,True
224,CALLER_224,178,Incorrect charges,142.0,closed,29,132,F,Outbound,True
225,CALLER_225,143,Difficulty cancelling subscription,125.0,new,0,69,C,Inbound,True
226,CALLER_226,158,Inadequate product instructions,158.0,closed,43,78,C,Inbound,True
227,CALLER_227,122,Difficulty getting a refund,156.0,pending,0,73,C,Inbound,False
228,CALLER_228,179,Unprofessional behavior,179.0,new,0,136,D,Inbound,False
229,CALLER_229,146,Package delivered to wrong address,146.0,closed,36,94,C,Inbound,False
230,CALLER_230,163,Poor quality product,163.0,closed,9,83,D,Outbound,True
231,CALLER_231,158,Product not delivered,129.0,closed,42,106,A,Outbound,True
232,CALLER_232,180,Poor communication,180.0,closed,44,62,D,Inbound,True
233,CALLER_233,174,Unresolved issue,177.0,closed,12,81,F,Inbound,False
234,CALLER_234,163,Website not working,168.0,new,0,138,E,Inbound,True
235,CALLER_235,161,Product not delivered,164.0,closed,33,69,A,Inbound,False
236,CALLER_236,146,Billing discrepancy,144.0,resolved,0,112,D,Outbound,True
237,CALLER_237,141,Package never arrived,139.0,resolved,0,80,E,Inbound,True
238,CALLER_238,169,Unresolved issue,180.0,closed,11,93,C,Inbound,False
239,CALLER_239,165,Wrong item received,181.0,closed,29,111,F,Inbound,True
240,CALLER_240,157,Difficulty getting a refund,156.0,pending,0,123,F,Inbound,True
241,CALLER_241,163,Difficulty reaching customer support,163.0,closed,20,74,F,Outbound,True
242,CALLER_242,125,Product damaged during shipping,160.0,resolved,0,77,C,Outbound,False
243,CALLER_243,133,Difficulty cancelling subscription,133.0,resolved,0,105,E,Inbound,True
244,CALLER_244,137,Poor quality product,137.0,resolved,0,105,E,Inbound,True
245,CALLER_245,181,Misplaced order,155.0,new,0,78,E,Outbound,True
246,CALLER_246,131,Shipping delay,131.0,resolved,0,115,A,Inbound,False
247,CALLER_247,128,Website not working,176.0,new,0,106,C,Inbound,True
248,CALLER_248,129,Billing discrepancy,156.0,closed,24,61,A,Inbound,True
249,CALLER_249,171,Rude customer service representative,180.0,pending,0,92,A,Inbound,True
250,CALLER_250,141,Lack of follow-up,169.0,new,0,75,D,Inbound,True
251,CALLER_251,130,Unresolved issue,179.0,closed,24,89,D,Outbound,True
252,CALLER_252,138,Inadequate product instructions,156.0,pending,0,68,F,Inbound,False
253,CALLER_253,133,Lack of follow-up,133.0,new,0,78,F,Inbound,True
254,CALLER_254,146,Unauthorized charges,123.0,new,0,82,A,Outbound,True
255,CALLER_255,163,Inadequate product instructions,163.0,pending,0,60,C,Inbound,True
256,CALLER_256,178,Misplaced order,156.0,new,0,84,C,Outbound,True
257,CALLER_257,122,Unprofessional behavior,138.0,closed,24,116,D,Inbound,False
258,CALLER_258,175,Lack of follow-up,175.0,closed,23,138,D,Inbound,True
259,CALLER_259,152,Wrong item received,171.0,closed,16,128,C,Outbound,False
260,CALLER_260,164,Long wait time,173.0,resolved,0,94,A,Inbound,True
261,CALLER_261,133,Product damaged during shipping,133.0,resolved,0,132,A,Inbound,True
262,CALLER_262,134,Slow response time,134.0,pending,0,91,A,Inbound,True
263,CALLER_263,140,Unhelpful support,140.0,pending,0,69,F,Outbound,True
264,CALLER_264,146,Unresolved issue,146.0,new,0,107,F,Outbound,False
265,CALLER_265,123,Website not working,123.0,resolved,0,96,F,Inbound,True
266,CALLER_266,148,Package never arrived,148.0,pending,0,131,C,Outbound,True
267,CALLER_267,170,Unauthorized charges,170.0,pending,0,148,C,Inbound,True
268,CALLER_268,178,Inaccurate information provided,130.0,new,0,139,E,Inbound,True
269,CALLER_269,168,Shipping delay,168.0,new,0,91,F,Inbound,True
270,CALLER_270,155,Shipping delay,155.0,pending,0,140,C,Inbound,True
271,CALLER_271,133,Unprofessional behavior,137.0,new,0,136,D,Outbound,False
272,CALLER_272,135,Poor communication,127.0,new,0,130,E,Inbound,True
273,CALLER_273,142,Inaccurate information provided,147.0,closed,18,74,C,Inbound,False
274,CALLER_274,168,Unresolved issue,124.0,new,0,79,E,Inbound,False
275,CALLER_275,152,Incorrect order,143.0,new,0,101,E,Outbound,True
276,CALLER_276,153,Inadequate product instructions,150.0,new,0,100,A,Outbound,True
277,CALLER_277,125,Product not delivered,125.0,pending,0,110,E,Outbound,False
278,CALLER_278,136,Inaccurate information provided,153.0,pending,0,98,A,Inbound,True
279,CALLER_279,171,Unresolved issue,180.0,closed,12,102,D,Outbound,True
280,CALLER_280,121,Billing discrepancy,121.0,pending,0,141,D,Inbound,True
281,CALLER_281,174,Slow response time,174.0,closed,9,68,C,Inbound,False
282,CALLER_282,150,Poor communication,150.0,new,0,90,F,Outbound,False
283,CALLER_283,135,Product not delivered,135.0,pending,0,96,E,Outbound,True
284,CALLER_284,159,Incorrect charges,146.0,new,0,128,C,Outbound,True
285,CALLER_285,162,Poor communication,138.0,closed,48,136,A,Inbound,True
286,CALLER_286,150,Product not as described,139.0,closed,6,131,C,Outbound,True
287,CALLER_287,168,Product not as described,168.0,pending,0,68,F,Outbound,True
288,CALLER_288,157,Inaccurate information provided,150.0,pending,0,81,E,Inbound,True
289,CALLER_289,133,Billing discrepancy,121.0,pending,0,148,C,Inbound,True
290,CALLER_290,173,Unhelpful support,151.0,pending,0,92,F,Inbound,True
291,CALLER_291,161,Website not working,122.0,pending,0,117,A,Inbound,True
292,CALLER_292,130,Slow response time,130.0,closed,43,68,C,Inbound,True
293,CALLER_293,122,Unauthorized charges,126.0,pending,0,119,A,Inbound,False
294,CALLER_294,169,Difficulty cancelling subscription,169.0,resolved,0,63,E,Inbound,False
295,CALLER_295,179,Poor quality product,179.0,closed,25,109,A,Inbound,True
296,CALLER_296,155,Product damaged during shipping,148.0,pending,0,148,D,Inbound,True
297,CALLER_297,152,Inaccurate information provided,124.0,pending,0,147,F,Inbound,False
298,CALLER_298,122,Long wait time,122.0,resolved,0,129,D,Outbound,True
299,CALLER_299,161,Difficulty getting a refund,127.0,closed,22,123,C,Inbound,True
